project_id,project_name,description,department,cost,start_date,end_date
DOD-4000,Stealth Material Enhancement Study,"DoD RDT&E project focused on stealth material enhancement study, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Navy ONR (Office of Naval Research),888849031,2024-09-22,2026-12-25
DOD-4001,Long-Range Precision Munition,"DoD RDT&E project focused on long-range precision munition, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),699737867,2011-06-16,2013-04-30
DOD-4002,Robotic Explosive Ordnance Unit,"DoD RDT&E project focused on robotic explosive ordnance unit, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),523373685,2017-01-17,2019-03-22
DOD-4003,Next-Gen Electronic Warfare Platform,"DoD RDT&E project focused on next-gen electronic warfare platform, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),776214751,2019-03-07,2022-02-14
DOD-4004,Quantum-Resilient Communications,"DoD RDT&E project focused on quantum-resilient communications, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),791652648,2011-07-25,2015-07-12
DOD-4005,Precision Navigation Without GPS,"DoD RDT&E project focused on precision navigation without gps, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),251392329,2011-06-17,2015-07-22
DOD-4006,Autonomous Target Tracking System,"DoD RDT&E project focused on autonomous target tracking system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),109171514,2016-09-22,2017-11-21
DOD-4007,Autonomous Maritime Vessel AI,"DoD RDT&E project focused on autonomous maritime vessel ai, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),364124879,2016-08-12,2019-05-22
DOD-4008,Quantum-Resilient Communications,"DoD RDT&E project focused on quantum-resilient communications, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),800154227,2023-08-02,2027-01-25
DOD-4009,Stealth Material Enhancement Study,"DoD RDT&E project focused on stealth material enhancement study, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),221524318,2016-09-20,2018-09-11
DOD-4010,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),504730468,2022-12-21,2026-04-09
DOD-4011,Advanced Radar Signal Processing,"DoD RDT&E project focused on advanced radar signal processing, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DARPA,827591148,2015-05-16,2019-05-02
DOD-4012,Autonomous Target Tracking System,"DoD RDT&E project focused on autonomous target tracking system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),777227146,2017-05-07,2019-06-02
DOD-4013,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),706624569,2015-10-09,2017-04-14
DOD-4014,Hypersonic Flight Test Vehicle,"DoD RDT&E project focused on hypersonic flight test vehicle, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),354441957,2016-07-14,2018-05-25
DOD-4015,High-Energy Laser Interceptor,"DoD RDT&E project focused on high-energy laser interceptor, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),895472884,2020-12-13,2024-03-25
DOD-4016,AI Pilot for Combat Aircraft,"DoD RDT&E project focused on ai pilot for combat aircraft, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),449271215,2014-01-12,2017-01-15
DOD-4017,Advanced Cyber Defense AI,"DoD RDT&E project focused on advanced cyber defense ai, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),521755389,2022-12-23,2026-05-08
DOD-4018,Advanced Radar Signal Processing,"DoD RDT&E project focused on advanced radar signal processing, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),195470115,2012-08-05,2015-06-02
DOD-4019,Satellite Networking Mesh Prototype,"DoD RDT&E project focused on satellite networking mesh prototype, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Missile Defense Agency (MDA),637476571,2010-05-23,2012-08-01
DOD-4020,Autonomous Target Tracking System,"DoD RDT&E project focused on autonomous target tracking system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),430900263,2020-04-19,2022-03-01
DOD-4021,Thermal Protection System R&D,"DoD RDT&E project focused on thermal protection system r&d, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DARPA,874841937,2010-07-02,2014-04-30
DOD-4022,Unmanned Aerial Recon System,"DoD RDT&E project focused on unmanned aerial recon system, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Navy ONR (Office of Naval Research),521989487,2014-11-30,2018-08-13
DOD-4023,Next-Gen Electronic Warfare Platform,"DoD RDT&E project focused on next-gen electronic warfare platform, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),97824887,2023-11-13,2027-01-18
DOD-4024,Directed Energy Prototype,"DoD RDT&E project focused on directed energy prototype, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Space Development Agency (SDA),269369160,2013-11-29,2017-12-01
DOD-4025,Space Situational Awareness Tool,"DoD RDT&E project focused on space situational awareness tool, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),191777084,2019-11-11,2023-08-31
DOD-4026,Precision Navigation Without GPS,"DoD RDT&E project focused on precision navigation without gps, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD DIU (Defense Innovation Unit),272528237,2013-10-12,2015-03-15
DOD-4027,Long-Range Precision Munition,"DoD RDT&E project focused on long-range precision munition, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),861964527,2015-10-16,2017-09-04
DOD-4028,Next-Gen Electronic Warfare Platform,"DoD RDT&E project focused on next-gen electronic warfare platform, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Army Research Laboratory (ARL),63129977,2015-06-13,2017-04-25
DOD-4029,AI Mission Planning Engine,"DoD RDT&E project focused on ai mission planning engine, involving advanced prototyping, field testing, classified evaluations, and technology maturation for future defense capabilities.",DoD Air Force Research Laboratory (AFRL),192525446,2012-11-18,2016-07-18
