project_id,project_name,description,department,cost,start_date,end_date
UKRI-3000,Human-Robot Collaboration Interface,"UKRI-funded R&D project focusing on human-robot collaboration interface, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),5903796,2016-01-10,2017-02-21
UKRI-3001,AI-driven Materials Discovery Framework,"UKRI-funded R&D project focusing on ai-driven materials discovery framework, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),7331120,2014-08-13,2017-05-25
UKRI-3002,Smart Sensor Fusion Platform,"UKRI-funded R&D project focusing on smart sensor fusion platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),4691547,2016-09-13,2019-01-26
UKRI-3003,Agritech Robotics for Smart Farming,"UKRI-funded R&D project focusing on agritech robotics for smart farming, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI BBSRC (Biotechnology and Biological Sciences Research Council),8779947,2023-08-27,2025-03-22
UKRI-3004,Energy-efficient Neuromorphic Computing,"UKRI-funded R&D project focusing on energy-efficient neuromorphic computing, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI BBSRC (Biotechnology and Biological Sciences Research Council),15747814,2015-11-30,2018-02-02
UKRI-3005,Quantum-enabled AI Algorithms,"UKRI-funded R&D project focusing on quantum-enabled ai algorithms, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,9369893,2021-12-21,2023-09-30
UKRI-3006,Autonomous Inspection Robotics Platform,"UKRI-funded R&D project focusing on autonomous inspection robotics platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI STFC (Science and Technology Facilities Council),7204572,2019-08-25,2021-09-02
UKRI-3007,Autonomous Inspection Robotics Platform,"UKRI-funded R&D project focusing on autonomous inspection robotics platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),15915337,2023-09-05,2026-02-01
UKRI-3008,Agritech Robotics for Smart Farming,"UKRI-funded R&D project focusing on agritech robotics for smart farming, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),6340668,2021-10-29,2023-10-27
UKRI-3009,Energy-efficient Neuromorphic Computing,"UKRI-funded R&D project focusing on energy-efficient neuromorphic computing, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),2105196,2017-08-23,2018-10-13
UKRI-3010,AI-driven Materials Discovery Framework,"UKRI-funded R&D project focusing on ai-driven materials discovery framework, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI EPSRC (Engineering and Physical Sciences Research Council),3400301,2024-08-20,2025-11-15
UKRI-3011,Autonomous Inspection Robotics Platform,"UKRI-funded R&D project focusing on autonomous inspection robotics platform, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI MRC (Medical Research Council),11246608,2024-05-22,2026-11-06
UKRI-3012,AI-enhanced Space Robotics Systems,"UKRI-funded R&D project focusing on ai-enhanced space robotics systems, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI Innovate UK,1221242,2024-04-06,2027-03-15
UKRI-3013,Autonomous Underwater Vehicle Research,"UKRI-funded R&D project focusing on autonomous underwater vehicle research, involving applied research, prototyping, experimental trials, multidisciplinary collaboration, and development of new technologies aligned with UK innovation priorities.",UKRI NERC (Natural Environment Research Council),19917216,2022-04-15,2024-03-02
